level_0,@module_x,@class_x,name_x,@version_x,X.discharge_capacity_cycle_2,X.max_discharge_capacity_difference,X.discharge_capacity_cycle_100,X.integrated_time_temperature_cycles_1:100,X.charge_time_cycles_1:5,X.abs_min_discharge_capacity_difference_cycles_2:100,X.abs_mean_discharge_capacity_difference_cycles_2:100,X.abs_variance_discharge_capacity_difference_cycles_2:100,X.abs_skew_discharge_capacity_difference_cycles_2:100,X.abs_kurtosis_discharge_capacity_difference_cycles_2:100,X.abs_first_discharge_capacity_difference_cycles_2:100,X.max_temperature_cycles_1:100,X.min_temperature_cycles_1:100,X.slope_discharge_capacity_cycle_number_2:100,X.intercept_discharge_capacity_cycle_number_2:100,X.slope_discharge_capacity_cycle_number_91:100,X.intercept_discharge_capacity_cycle_number_91:100,X.min_internal_resistance_cycles_2:100,X.internal_resistance_cycle_2,X.internal_resistance_difference_cycles_2:100,X.nominal_capacity_by_median,metadata.barcode_x,metadata.protocol_x,metadata.channel_id_x,metadata.parameters.init_pred_cycle,metadata.parameters.mid_pred_cycle,metadata.parameters.final_pred_cycle,metadata.parameters.n_nominal_cycles,bat_num,batches,bat_name,index,@module_y,@class_y,name_y,@version_y,X.capacity_0.98,X.capacity_0.95,X.capacity_0.92,X.capacity_0.89,X.capacity_0.86,X.capacity_0.83,X.capacity_0.8,metadata.barcode_y,metadata.protocol_y,metadata.channel_id_y,metadata.parameters.thresh_max_cap,metadata.parameters.thresh_min_cap,metadata.parameters.interval_cap
10,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000002_CH7_features_DeltaQFastCharge.json,2021.1.11.15,1.0691667999999999,0.49482000000000026,1.0724851999999998,211404.10354817705,588.7999877929688,-1.795305085722791,-2.6480577821580016,-4.369477496017441,-0.028145270265992294,-0.8720268643056049,-1.798360019926207,38.634735107421875,30.366573333740234,5.5822646876948984e-06,1.0725724685837967,-5.1341212121221015e-05,1.0774679145454549,0.01555040292441845,0.016045743599534035,-0.00038790516555309296,1.07306195,el150800737367,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,6,10,91,100,40,7,b3,b3c7,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000002_CH7_features_TrajectoryFastCharge.json,2021.1.11.15,1048,1048,1048,1048,1048,1048,1048,el150800737367,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,6,0.98,0.78,0.03
11,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000003_CH39_features_DeltaQFastCharge.json,2021.1.11.15,1.0739927,0.6067739000000001,1.0794165,210004.8976512,640.0,-1.4317209215650537,-1.8239204808250553,-3.6622625313848136,-0.6377573063077836,0.21004215339913926,-1.465114349176165,37.24092483520508,29.709148406982422,3.773016697583789e-06,1.079826529973201,-2.7695151515136912e-05,1.08222412181818,0.016567617654800415,0.01706472784280777,-0.0001125037670135498,1.0804635500000002,EL150800460525,2017-05-12_TESTS\20170512-7C-30PER_3_6C.SDU,38,10,91,100,40,39,b1,b1c39,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000003_CH39_features_TrajectoryFastCharge.json,2021.1.11.15,444,592,644,675,703,730,744,EL150800460525,2017-05-12_TESTS\20170512-7C-30PER_3_6C.SDU,38,0.98,0.78,0.03
12,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000003_CH40_features_DeltaQFastCharge.json,2021.1.11.15,1.0681152,0.608949,1.073982,207728.13271040004,640.0,-1.4046427498598646,-1.720213816963381,-3.52064351320574,-1.1413754240641378,0.2815321781126293,-1.4715188407170465,36.07556915283203,29.543270111083984,7.387465677171939e-06,1.074078922675737,-2.5519999999939745e-05,1.0765367999999937,0.016647711396217346,0.01712852530181408,-3.707408905029297e-05,1.0746199,EL150800460622,2017-05-12_TESTS\20170512-7C-30PER_3_6C.SDU,39,10,91,100,40,40,b1,b1c40,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000003_CH40_features_TrajectoryFastCharge.json,2021.1.11.15,431,546,597,633,664,693,705,EL150800460622,2017-05-12_TESTS\20170512-7C-30PER_3_6C.SDU,39,0.98,0.78,0.03
13,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000004_CH1_features_DeltaQFastCharge.json,2021.1.11.15,1.0219246,0.23452859999999998,1.0109721,163310.06686197917,819.2000122070312,-1.086544680746861,-1.461115527506544,-2.992572181623321,-0.8407063549646953,0.21530447744706321,-1.3851931292279613,37.95610427856445,27.342607498168945,-0.00013854591218305732,1.0243455137909705,-0.00010724727272724762,1.0215771872727246,0.01666947454214096,0.01709946058690548,0.00016632117331027985,1.02197645,EL150800460514,2017-05-12_TESTS\20170512-3_6C-80PER_3_6C.SDU,0,10,91,100,40,1,b1,b1c1,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000004_CH1_features_TrajectoryFastCharge.json,2021.1.11.15,133,311,454,528,663,665,665,EL150800460514,2017-05-12_TESTS\20170512-3_6C-80PER_3_6C.SDU,0,0.98,0.78,0.03
14,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000004_CH2_features_DeltaQFastCharge.json,2021.1.11.15,1.0245415999999998,0.6663588000000003,1.0298452,170295.01625976563,793.5999755859375,-1.5092331751690964,-2.1612302400146293,-3.765383587101311,-1.635026528958653,-0.2734985197479098,-1.8887260576137588,37.771934509277344,27.932758331298828,3.044077922079982e-06,1.0307660062049055,-2.8883636363644262e-05,1.033173023636364,0.016772035509347916,0.017235446721315384,-0.00012035481631755829,1.0313043,EL150800460486,2017-05-12_TESTS\20170512-3_6C-80PER_3_6C.SDU,1,10,91,100,40,2,b1,b1c2,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000004_CH2_features_TrajectoryFastCharge.json,2021.1.11.15,430,612,761,879,955,984,984,EL150800460486,2017-05-12_TESTS\20170512-3_6C-80PER_3_6C.SDU,1,0.98,0.78,0.03
15,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000004_CH3_features_DeltaQFastCharge.json,2021.1.11.15,1.0295508,0.6685110000000003,1.0342097,173415.78453369145,819.2000122070312,-2.0558877023612387,-2.6240984671658345,-4.895644778597604,-1.1573162025088697,0.011934439892046478,-2.1967892092146015,39.04987335205078,28.133153915405273,-5.293223252946506e-06,1.0353340914656772,-9.866666666541682e-07,1.0345870199999985,0.01664477400481701,0.017040561884641647,0.0003446098417043686,1.03561795,EL150800460623,2017-05-12_TESTS\20170512-3_6C-80PER_3_6C.SDU,2,10,91,100,40,3,b1,b1c3,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000004_CH3_features_TrajectoryFastCharge.json,2021.1.11.15,311,311,311,311,1040,1063,1063,EL150800460623,2017-05-12_TESTS\20170512-3_6C-80PER_3_6C.SDU,2,0.98,0.78,0.03
16,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000005_CH18_features_DeltaQFastCharge.json,2021.1.11.15,1.0610169,0.8916163999999998,1.0587758,233564.31125895184,640.0,-1.1393383616943527,-1.4581505053947175,-2.998901783570479,-1.191361036703543,0.2792406428349571,-1.2214805359716214,38.7081298828125,29.016958236694336,-7.63935423623982e-05,1.0679653761080188,-0.0001747987878787755,1.0761017854545438,0.01669757440686226,0.01768866367638111,-0.0006887484341859818,1.0665885,el150800460480,2017-06-30_tests\20170630-4_4C_47per_5_5C.sdu,17,10,91,100,40,18,b2,b2c18,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000005_CH18_features_TrajectoryFastCharge.json,2021.1.11.15,173,315,392,435,460,482,505,el150800460480,2017-06-30_tests\20170630-4_4C_47per_5_5C.sdu,17,0.98,0.78,0.03
17,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000006_CH11_features_DeltaQFastCharge.json,2021.1.11.15,1.0642239,0.4925607999999999,1.0665125,209101.8397542318,563.2000122070312,-1.6627138383850455,-2.0308742588543853,-4.055060080215673,-0.7464254331897207,0.2551759514747987,-1.7219137249043217,38.707847595214844,31.221145629882812,-1.1830170686464501e-05,1.068290414594929,-7.243030303029691e-05,1.0736117036363628,0.014931545592844486,0.015168298035860062,-0.00011319480836391449,1.0683696,el150800737313,2018-04-12_batch8\20180412-5_3C_54per_4C_newstructure.sdu,10,10,91,100,40,11,b3,b3c11,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000006_CH11_features_TrajectoryFastCharge.json,2021.1.11.15,1065,1065,1065,1065,1065,1065,1065,el150800737313,2018-04-12_batch8\20180412-5_3C_54per_4C_newstructure.sdu,10,0.98,0.78,0.03
18,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000006_CH19_features_DeltaQFastCharge.json,2021.1.11.15,1.0683683000000002,0.49581799999999987,1.0724778999999998,156098.40436813957,640.0,-1.543277032650591,-1.8413761101050385,-3.765784686225749,-1.114939706986651,0.2808858559948174,-1.5837272499432908,35.68544006347656,31.020124435424805,3.645747680884521e-06,1.0726358540300969,-9.04424242427563e-06,1.0733089909090938,0.015742281451821327,0.015937412157654762,-6.501562893390656e-05,1.0732050499999999,el150800737270,2018-04-12_batch8\20180412-5_3C_54per_4C_newstructure.sdu,18,10,91,100,40,19,b3,b3c19,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000006_CH19_features_TrajectoryFastCharge.json,2021.1.11.15,1041,1041,1041,1041,1041,1041,1041,el150800737270,2018-04-12_batch8\20180412-5_3C_54per_4C_newstructure.sdu,18,0.98,0.78,0.03
19,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000006_CH27_features_DeltaQFastCharge.json,2021.1.11.15,1.0653081,0.48844920000000003,1.0665386000000001,196828.61896892355,614.4000244140625,-1.756509477589395,-2.2528706439432784,-4.192006637565118,-0.5012809630227326,0.1645309321118671,-1.8222305138944,38.138309478759766,31.0411376953125,-4.414312925172467e-06,1.0672569025149454,-1.3524242424217739e-05,1.0679278309090883,0.015354249626398087,0.015568672679364681,-0.0001898324117064476,1.06760445,el150800737378,2018-04-12_batch8\20180412-5_3C_54per_4C_newstructure.sdu,26,10,91,100,40,27,b3,b3c27,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000006_CH27_features_TrajectoryFastCharge.json,2021.1.11.15,1317,1317,1317,1317,1317,1317,1317,el150800737378,2018-04-12_batch8\20180412-5_3C_54per_4C_newstructure.sdu,26,0.98,0.78,0.03
20,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000006_CH35_features_DeltaQFastCharge.json,2021.1.11.15,1.0600798999999999,0.49178040000000034,1.0642562,218042.15460611982,588.7999877929688,-1.581113113565286,-1.9508425162783876,-3.9244404972798397,-0.7720135047205577,0.24146366848199877,-1.6546927290634479,39.59511184692383,31.926973342895508,1.0107280148418356e-05,1.0642738440733868,-6.144666666670098e-05,1.0704166200000031,0.015591008588671684,0.015797900035977364,-8.425489068031311e-05,1.06496845,el150800737259,2018-04-12_batch8\20180412-5_3C_54per_4C_newstructure.sdu,34,10,91,100,40,35,b3,b3c35,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000006_CH35_features_TrajectoryFastCharge.json,2021.1.11.15,991,991,991,991,991,991,991,el150800737259,2018-04-12_batch8\20180412-5_3C_54per_4C_newstructure.sdu,34,0.98,0.78,0.03
21,beep.featurize,DeltaQFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/DeltaQFastCharge/FastCharge_000006_CH3_features_DeltaQFastCharge.json,2021.1.11.15,1.0674757,0.4403338000000001,1.0710341,205200.4370361328,614.4000244140625,-1.5848495243338176,-1.9273053120951804,-3.8790066152653155,-1.0652484023381623,0.26977908338556666,-1.6635383311681728,34.756858825683594,30.474828720092773,-4.228707483029724e-07,1.0716913667697379,-3.47575757575606e-05,1.0744140109090892,0.015509814023971558,0.015760991722345352,-0.00013366714119911194,1.0721014000000002,EL150800737380,2018-04-12_batch8\20180412-5_3C_54per_4C_newstructure.sdu,2,10,91,100,40,3,b3,b3c3,0,beep.featurize,TrajectoryFastCharge,/mnt/c/Users/sjrt1/Documents/School/Winter2021/DATA451/FastCharge/data-share/features/TrajectoryFastCharge/FastCharge_000006_CH3_features_TrajectoryFastCharge.json,2021.1.11.15,937,937,937,937,937,937,937,EL150800737380,2018-04-12_batch8\20180412-5_3C_54per_4C_newstructure.sdu,2,0.98,0.78,0.03
